alignment	lenght	from	to
ATP6_NT_edited.fas	681	1	681
ATP8_NT_edited.fas	165	682	846
COX1_NT_edited.fas	1554	847	2400
COX2_NT_edited.fas	690	2401	3090
COX3_NT_edited.fas	783	3091	3873
CYTB_NT_edited.fas	1143	3874	5016
ND1_NT_edited.fas	972	5017	5988
ND2_NT_edited.fas	1047	5989	7035
ND3_NT_edited.fas	348	7036	7383
ND4_NT_edited.fas	1380	7384	8763
ND4L_NT_edited.fas	294	8764	9057
ND5_NT_edited.fas	1827	9058	10884
ND6_RevComp_NT_edited.fas	519	10885	11403
12S_mafft_BMGE_Cleaned.fas	926	11404	12329
16S_mafft_BMGE_Cleaned.fas	1616	12330	13945
